id,year_month,variable,value,monthly_screen_time,app_to_screen_ratio
AS14.12,2014-03,appCat.other,302.746,33431.10500073434,0.009055817927446608
AS14.12,2014-03,appCat.social,10984.161,33431.10500073434,0.32856111097011975
AS14.12,2014-03,appCat.travel,873.5169999999999,33431.10500073434,0.0261288701040786
AS14.12,2014-03,appCat.unknown,60.299,33431.10500073434,0.0018036795373253588
AS14.12,2014-03,appCat.utilities,42.458,33431.10500073434,0.0012700148558974459
AS14.12,2014-04,appCat.builtin,122441.617,223542.77299904823,0.547732388559577
AS14.12,2014-04,appCat.communication,36688.454,223542.77299904823,0.16412274710467248
AS14.12,2014-04,appCat.entertainment,28773.295000000002,223542.77299904823,0.12871494172671155
AS14.12,2014-04,appCat.finance,1048.101,223542.77299904823,0.0046885926390671665
AS14.12,2014-04,appCat.game,912.6840000000001,223542.77299904823,0.004082815953991435
AS14.12,2014-04,appCat.office,2923.003,223542.77299904823,0.013075810775651626
AS14.12,2014-04,appCat.other,1581.905,223542.77299904823,0.007076520429523057
AS14.12,2014-04,appCat.social,87774.422,223542.77299904823,0.3926515754565401
AS14.12,2014-04,appCat.travel,11407.355,223542.77299904823,0.051029853691796905
AS14.12,2014-04,appCat.utilities,156.535,223542.77299904823,0.0007002463014121529
