row_number,id,time,variable,value,deviation
540449,AS14.09,2014-04-25 17:03:51.493,appCat.entertainment,40.72,3.7838859466353534
540487,AS14.09,2014-04-25 21:36:01.477,appCat.entertainment,79.248,9.65434618853852
540553,AS14.09,2014-04-26 21:22:34.020,appCat.entertainment,46.89,21.94075541348262
540577,AS14.09,2014-04-26 21:57:17.000,appCat.entertainment,32.346,13.856836524808488
540594,AS14.09,2014-04-26 22:04:30.096,appCat.entertainment,88.523,8.494725320869119
770074,AS14.09,2014-04-01 14:05:18.710,appCat.finance,123.632,3.1483590211507324
772213,AS14.09,2014-04-08 15:59:40.288,appCat.finance,126.601,4.094276994751327
773943,AS14.09,2014-04-26 15:10:18.625,appCat.finance,191.111,3.5730523803451124
1240189,AS14.09,2014-04-18 15:51:55.095,appCat.office,70.292,57.110113739996315
1468037,AS14.09,2014-03-24 21:23:35.141,appCat.other,33.21,3.574504480447117
1468719,AS14.09,2014-03-27 16:09:32.147,appCat.other,53.79,14.508588123487732
1468836,AS14.09,2014-03-28 00:45:15.634,appCat.other,193.932,12.541793186266377
1470504,AS14.09,2014-04-02 09:25:48.046,appCat.other,32.509,6.187305679563828
1470964,AS14.09,2014-04-03 21:09:39.928,appCat.other,40.989,6.719977933474087
1473302,AS14.09,2014-04-16 10:07:50.532,appCat.other,29.612,4.8250898018601776
1701316,AS14.09,2014-03-24 14:03:06.430,appCat.social,264.516,8.116087541248422
1702164,AS14.09,2014-03-27 19:40:25.302,appCat.social,138.557,7.029391046551282
1702220,AS14.09,2014-03-27 23:41:51.834,appCat.social,169.145,3.0417808166989504
1704131,AS14.09,2014-04-03 09:57:25.894,appCat.social,162.511,4.294607285106513
1707151,AS14.09,2014-04-20 23:13:34.457,appCat.social,267.892,5.750853081407412
1935766,AS14.09,2014-03-28 16:08:52.746,appCat.travel,219.994,11.426159320692948
1935779,AS14.09,2014-03-28 16:22:55.618,appCat.travel,286.878,3.6898088442959702
1936826,AS14.09,2014-03-31 16:09:18.726,appCat.travel,163.51,15.423319678488138
1937669,AS14.09,2014-04-03 16:08:01.072,appCat.travel,171.137,8.401237085632031
1937675,AS14.09,2014-04-03 16:14:58.400,appCat.travel,469.83,8.560175149129806
1937745,AS14.09,2014-04-03 18:31:52.901,appCat.travel,113.124,6.389346570613971
